activity,business object,action,executing resource,org:resource,org:role,IT relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number of resources,ef_relative,median_execution_time,et_relative,stability
permit rejected by missing,permit,rejected,missing,STAFF MEMBER,missing,0.5681877136230469,False,False,4.0,8.0,1.0246913580246915,7,0.0009586398863491994,21234.67,0.005650265775184302,943.3928481215391
permit rejected by supervisor,permit,rejected,supervisor,STAFF MEMBER,supervisor,0.5681877136230469,False,False,2.0,5.0,1.0,7,0.0014437347685981891,1398.83,0.00045993575316679864,35.950055960613675
permit rejected by employee,permit,rejected,employee,STAFF MEMBER,employee,0.5681877136230469,False,False,2.0,11.0,1.0582822085889572,7,0.003984707961331026,1457.8,0.0013935436158966296,28.827597851720718
request for payment approved by pre approver,request for payment,approved,pre approver,STAFF MEMBER,pre approver,0.6281129121780396,False,False,7.0,0.0,1.3928571428571428,4,0.0018017809912105381,0.785,5.2679892956305004e-05,123.43940517173422
declaration rejected by missing,declaration missing,rejected,missing,STAFF MEMBER,missing,0.5537296533584595,False,False,3.0,3.0,1.054945054945055,1,0.0011087883022834093,3810.615,0.0007476045430534259,125.26834007803579
declaration approved by supervisor,declaration,approved,supervisor,STAFF MEMBER,supervisor,0.5972120761871338,False,False,4.0,5.0,1.0424528301886793,3,0.0025525230708816063,1232.6,0.0009584038047768385,61.3231779697926
declaration final approved by director,declaration,final approved,director,STAFF MEMBER,director,0.6458295583724976,False,False,2.0,3.0,1.0333333333333334,2,0.002506323558286457,1512.87,0.0011439904986919219,56.42046983015947
permit rejected by pre approver,permit,rejected,pre approver,STAFF MEMBER,pre approver,0.5681877136230469,False,True,2.0,1.0,1.03125,7,0.0003811459789099226,0.1,1.0461050965882992e-05,177.46211041608305
declaration rejected by director,declaration,rejected,director,STAFF MEMBER,director,0.5537296533584595,True,True,1.0,1.0,1.0,6,4.619951259514212e-05,7045.84,3.105811709271114e-05,370.382917643264
declaration rejected by supervisor,declaration,rejected,supervisor,STAFF MEMBER,supervisor,0.5537296533584595,False,False,3.0,6.0,1.0360360360360361,6,0.0013282359871103378,3936.0,0.0007346939022261614,55.478329795380944
request for payment rejected by pre approver,request for payment,rejected,pre approver,STAFF MEMBER,pre approver,0.6281129121780396,True,False,1.0,0.0,1.3076923076923077,6,0.00019634792852935403,0.2,2.5442279423121598e-08,0.20684652441878623
request for payment rejected by employee,request for payment,rejected,employee,STAFF MEMBER,employee,0.6281129121780396,False,False,3.0,10.0,1.1625615763546797,6,0.0027257712431133837,1267.3600000000001,0.0008185317017990685,22.306429823024075
permit approved by administration,permit,approved,administration,STAFF MEMBER,administration,0.5972120761871338,False,True,12.0,1.0,1.0205357142857143,4,0.06600755362030014,0.07,0.004308259500437369,13.18296036864062
request for payment rejected by supervisor,request for payment,rejected,supervisor,STAFF MEMBER,supervisor,0.6281129121780396,False,False,4.0,7.0,1.1764705882352942,6,0.00023099756297571055,209.575,5.843281749663239e-05,251.8503691946975
request for payment approved by supervisor,request for payment,approved,supervisor,STAFF MEMBER,supervisor,0.6281129121780396,False,False,4.0,2.0,1.0571428571428572,4,0.0004273454915050648,1337.18,0.00014442732827756152,148.21896277933868
request for payment final approved by director,request for payment,final approved,director,STAFF MEMBER,director,0.6458295583724976,False,False,0.0,4.0,1.0571428571428572,2,0.0004273454915050648,2175.88,0.00012152418159225227,84.0323140389
declaration approved by budget owner,declaration budget,approved,owner,STAFF MEMBER,budget owner,0.5972120761871338,False,False,5.0,3.0,1.0559655596555966,1,0.01983114078146538,1508.78,0.008684590550571716,6.317621729904244
request for payment saved by employee,request for payment,saved,employee,STAFF MEMBER,employee,0.6281129121780396,False,False,6.0,9.0,1.0,1,0.00019634792852935403,3295.15,0.0002299509994214743,1374.4687071490769
permit rejected by administration,permit,rejected,administration,STAFF MEMBER,administration,0.5681877136230469,False,False,4.0,0.0,1.023076923076923,7,0.0015361337937884747,0.08,6.028875417147405e-06,19.152431746099364
declaration rejected by administration,declaration,rejected,administration,STAFF MEMBER,administration,0.5537296533584595,False,False,4.0,0.0,1.2424242424242424,6,0.017047620147607686,8.95,0.004974479736728616,59.02116877644901
permit approved by budget owner,permit,approved,budget owner,STAFF MEMBER,budget owner,0.5972120761871338,False,False,7.0,4.0,1.0103601381351752,4,0.023654150448713405,1277.475,0.006127480232882384,2.198334899333029
declaration rejected by budget owner,declaration,rejected,budget owner,STAFF MEMBER,budget owner,0.5537296533584595,False,True,4.0,1.0,1.054054054054054,6,0.0004504452478026356,1354.42,0.00014886363172928046,171.3688157266203
request for payment approved by administration,request for payment,approved,administration,STAFF MEMBER,administration,0.6281129121780396,False,False,18.0,2.0,1.4162812210915818,4,0.017682863445791102,0.45,0.0006388313975382117,14.925960268171758
permit rejected by budget owner,permit,rejected,budget owner,STAFF MEMBER,budget owner,0.5681877136230469,True,False,1.0,2.0,1.0384615384615385,7,0.0006236934200344186,1159.3,0.00014345945312873792,84.21151739016844
request for payment approved by budget owner,request for payment,approved,budget owner,STAFF MEMBER,budget owner,0.6281129121780396,False,False,7.0,5.0,1.4901477832512315,4,0.006987676280015221,1066.75,0.0014038083271500426,6.912539421313697
request for payment rejected by administration,request for payment,rejected,administration,STAFF MEMBER,administration,0.6281129121780396,False,False,9.0,3.0,1.1502890173410405,6,0.0022984257516083235,0.72,0.00030718162349034666,312.7318437957234
request for payment rejected by budget owner,request for payment,rejected,budget owner,STAFF MEMBER,budget owner,0.6281129121780396,False,True,3.0,1.0,1.5,6,6.929926889271319e-05,99.91,6.532828259566921e-06,529.9387372003131
permit for approval by administration,permit,approval,administration,STAFF MEMBER,administration,0.5703593492507935,True,True,1.0,1.0,1.0,2,1.154987814878553e-05,0.05,5.623846026331035e-11,0.0
permit rejected by director,permit,rejected,director,STAFF MEMBER,director,0.5681877136230469,True,True,1.0,1.0,1.0,7,2.309975629757106e-05,18043.614999999998,4.0589805007358815e-05,6541.67766781906
permit for approval by supervisor,permit,approval,supervisor,STAFF MEMBER,supervisor,0.5703593492507935,True,True,1.0,1.0,1.0,2,1.154987814878553e-05,9796.5,1.1018801519390396e-05,0.0
